area,bedrooms,bathrooms,location_score,age_of_house,floor,near_metro,parking,price
2449,3,2,9,20,8,0,0,8057000
642,2,1,3,12,1,0,2,2276000
992,5,1,9,0,6,0,2,4316000
1122,2,1,1,8,6,1,2,3746000
1466,2,1,9,3,7,1,1,5598000
2512,4,1,10,1,0,1,0,8896000
2618,5,4,2,17,1,0,2,8244000
2863,4,1,10,16,2,0,0,9499000
2884,3,4,3,11,5,0,0,9002000
990,4,3,3,0,3,1,1,3790000
2601,2,4,6,8,6,0,2,8623000
886,5,2,6,7,3,1,1,3658000
767,2,2,7,14,6,0,0,2881000
2142,3,4,10,9,7,1,1,7746000
1913,5,1,6,3,10,1,1,6789000
941,3,4,2,4,8,0,1,3293000
855,3,4,4,6,8,0,0,3115000
1645,2,3,9,1,3,0,1,6085000
1671,2,4,6,18,2,1,1,5703000
1264,5,4,2,11,3,0,2,4302000
1500,2,3,1,14,3,1,2,4820000
1821,4,3,9,11,4,1,0,6583000
957,5,1,6,1,6,1,1,3961000
2754,3,2,9,20,5,1,0,9122000
1660,2,3,8,0,9,1,0,6120000
1730,1,1,4,10,5,1,2,5780000
2263,4,3,5,14,2,0,2,7459000
555,4,2,5,13,7,1,1,2395000
1628,2,3,6,19,1,1,1,5524000
2757,4,4,6,3,8,1,2,9441000
902,5,1,2,12,2,0,1,3026000
2738,1,3,8,12,1,0,1,8994000
1727,2,3,1,0,10,1,0,5621000
2399,4,4,7,2,8,1,1,8407000
1978,2,2,10,13,3,1,0,6984000
2925,3,1,4,10,5,0,0,9155000
1756,2,4,4,0,2,0,2,6048000
2005,5,4,2,0,8,1,1,6815000
843,3,2,6,17,6,1,1,3229000
1913,5,1,2,14,4,0,2,6099000
777,2,1,3,9,10,0,1,2661000
1054,4,1,2,3,9,0,2,3692000
2806,1,2,3,19,1,0,0,8448000
2680,3,3,1,20,5,1,0,8130000
2775,1,3,9,8,0,1,0,9355000
1514,5,1,2,12,10,0,2,4942000
1414,4,2,9,2,7,1,0,5512000
1948,5,3,7,10,1,1,2,6994000
2953,5,1,4,20,5,1,1,9369000
888,4,3,9,17,1,1,1,3744000
588,5,3,10,10,4,0,2,3064000
2473,1,4,8,12,4,0,2,8309000
