area,bedrooms,bathrooms,location_score,age_of_house,floor,near_metro,parking,price
956,1,1,4,7,2,0,0,4660391
630,1,1,4,7,8,0,0,4050279
2732,4,2,8,18,4,0,0,11156240
1893,4,2,4,10,1,0,1,8513010
1908,5,3,1,14,8,0,1,8819467
1700,4,3,10,6,1,0,2,9819562
1685,2,1,2,12,4,1,2,7375181
1166,3,2,4,8,10,0,0,6529526
1502,2,2,7,8,10,0,2,7845262
729,1,1,6,12,4,0,0,4470068
2823,5,3,4,20,7,1,2,12145161
1584,2,1,9,17,4,1,2,8105623
1398,2,2,2,1,1,0,2,6601036
2229,5,1,7,12,9,1,2,10798691
2766,3,3,2,17,4,1,0,10167328
1147,3,1,5,16,2,0,1,6308765
2579,5,2,3,11,2,0,2,10759165
579,1,1,5,7,0,0,0,3784536
2490,3,3,3,4,10,1,2,10585738
2661,5,4,4,17,3,1,1,12098696
2029,4,4,2,7,3,0,1,9154975
2768,3,3,4,0,1,0,0,10408096
628,2,1,9,7,4,1,0,5613189
2838,5,4,4,15,6,0,0,11519272
2265,4,4,7,14,0,0,0,10295626
1889,3,1,4,6,8,1,0,8271167
1640,3,1,2,14,8,0,0,6847698
2714,3,1,4,5,6,1,1,10358195
2142,3,1,7,0,6,1,1,9695564
2776,5,4,3,6,4,0,0,11648334
2720,3,3,6,1,0,1,2,11927984
2675,3,1,9,2,2,0,2,10948275
1463,3,1,10,7,9,0,2,8333309
2890,5,3,5,6,10,1,0,12290260
1036,4,3,8,10,1,0,1,7697751
2806,3,1,9,6,8,1,0,11651453
781,1,1,5,5,7,1,0,4965731
2771,4,1,3,8,1,0,2,10643649
1615,3,3,4,10,3,1,2,8516114
708,1,1,5,1,0,1,0,4706244
1572,2,2,9,13,8,0,0,7602829
1110,4,1,6,18,8,0,1,6716512
1762,3,1,6,6,10,0,2,8388820
2793,4,2,4,5,2,1,0,10920275
1860,4,2,5,5,1,1,0,9175617
1411,2,2,6,9,3,0,0,6870942
2132,4,3,2,8,5,1,2,10191215
2696,4,1,2,8,2,1,0,9932049
2279,4,3,7,19,8,0,1,10612434
1278,3,1,7,0,8,0,1,7401687
1852,5,3,2,9,8,1,2,9735006
2148,5,3,9,4,3,1,2,12008918
1212,4,3,7,17,0,1,1,7927239
2875,5,3,8,14,7,0,2,12797820
1195,4,1,5,16,10,1,0,7180530
1462,4,3,4,6,2,0,0,7728922
2446,5,1,8,13,10,0,2,11396196
2524,4,2,3,20,0,0,1,9610569
2621,4,1,9,7,1,1,0,11379350
2675,5,3,8,19,8,1,2,12550967
1151,4,4,8,8,3,1,1,8732392
1624,3,1,5,7,4,1,1,8129272
830,1,1,4,12,2,0,0,4194072
1855,5,4,7,1,3,1,1,11030855
